altitude_km,density_kg_m3
0.0,17.83897329871543
100.0,3.984792675987342e-7
110.0,6.843989238757692e-8
120.0,1.7648444143075197e-8
130.0,7.11078014703777e-9
140.0,3.6036579011047465e-9
150.0,2.0652970636907157e-9
160.0,1.2801638427583706e-9
170.0,8.397104537888693e-10
180.0,5.758636096160675e-10
190.0,4.091839862938647e-10
200.0,2.990554165789056e-10
210.0,2.2356238979344726e-10
220.0,1.702314369663099e-10
230.0,1.3160649429812112e-10
240.0,1.0305804006868984e-10
250.0,8.158880076939967e-11
260.0,6.519991739475551e-11
270.0,5.252868650370824e-11
280.0,4.26267886127593e-11
290.0,3.4818419850821474e-11
300.0,2.8603017220630828e-11
310.0,2.36175095686121e-11
320.0,1.9594499488973075e-11
330.0,1.632574531562066e-11
340.0,1.3655176327558493e-11
350.0,1.1463508042167843e-11
360.0,9.655117189524127e-12
370.0,8.157159635162778e-12
380.0,6.911445601248255e-12
390.0,5.8713730862738926e-12
400.0,5.000403774691619e-12
410.0,4.268462870523778e-12
420.0,3.651713908280665e-12
430.0,3.130525716988899e-12
440.0,2.688971491808443e-12
450.0,2.3139657239215944e-12
460.0,1.994743011469407e-12
470.0,1.7224375547242893e-12
480.0,1.4896545517031354e-12
490.0,1.2903191602462513e-12
500.0,1.119308480092267e-12
510.0,9.723824042540317e-13
520.0,8.459280127037721e-13
530.0,7.369248941004152e-13
540.0,6.428005293967633e-13
550.0,5.614153623755788e-13
560.0,4.909395467788051e-13
570.0,4.2984196026335056e-13
580.0,3.7681037882139924e-13
590.0,3.3072080245874397e-13
600.0,2.906124670940318e-13
610.0,2.5566820341068133e-13
620.0,2.251852413806917e-13
630.0,1.9856330862807411e-13
640.0,1.7528973316666785e-13
650.0,1.54923271744516e-13
660.0,1.3708351444545306e-13
670.0,1.2144206920332486e-13
680.0,1.0771513252585787e-13
690.0,9.565714619212742e-14
700.0,8.505540586861167e-14
710.0,7.572547369789243e-14
720.0,6.750725708755986e-14
730.0,6.026165706330763e-14
740.0,5.3867701128596936e-14
750.0,4.8220085243509654e-14
760.0,4.322706014080009e-14
770.0,3.8808616975530346e-14
780.0,3.489492793958627e-14
790.0,3.1424999528934294e-14
800.0,2.8345512466430104e-14
810.0,2.5609819372671803e-14
820.0,2.3177079331132598e-14
830.0,2.101150787125432e-14
840.0,1.9081727429350476e-14
850.0,1.7360205691452956e-14
860.0,1.5822766358251338e-14
870.0,1.4448166048774506e-14
880.0,1.3217724978615644e-14
890.0,1.21150065052358e-14
900.0,1.1125537909137662e-14
910.0,1.0236567331762814e-14
920.0,9.436851446722907e-15
930.0,8.716470672503604e-15
940.0,8.066667311294266e-15
950.0,7.479704423008371e-15
960.0,6.948742213856135e-15
970.0,6.467730076074431e-15
980.0,6.0313122235697315e-15
990.0,5.634744231739906e-15
1000.0,5.273820824140527e-15
